"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
35.2,64.8,"<b>Biodiversitätsinitiative</b><br>1760 von 2126 Gemeinden ausgezählt (82.8%)<br>Stände: 0 Ja, 17 Nein","<b>Initiative pour la biodiversité</b><br>Les résultats de 1760 des 2126 communes sont connus (82.8%)<br>Cantons: 0 oui, 17 non","<b>Iniziativa biodiversità</b><br>1760 dei 2126 comuni sono noti (82.8%)<br>Cantoni: 0 sì, 17 no"
33,67,"<b>Reform der beruflichen Vorsorge</b><br>1760 von 2126 Gemeinden ausgezählt (82.8%)<br>Stände: 0 Ja, 17 Nein","<b>Réforme de la LPP</b><br>Les résultats de 1760 des 2126 communes sont connus (82.8%)<br>Cantons: 0 oui, 17 non","<b>Riforma della LPP</b><br>1760 dei 2126 comuni sono noti (82.8%)<br>Cantoni: 0 sì, 17 no"
