"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
84.2,15.8,"<b>Änderung der Kantonsverfassung (Kantonswechsel der Gemeinde Moutier: Aufhebung der Amtsbezirke)</b><br>221 von 330 Gemeinden ausgezählt (67%)","<b>Modification de la Constitution cantonale (transfert cantonal de la commune de Moutier : suppression des districts)</b><br>221 des 330 communes sont connus (67%)","<b>NA</b><br>221 dei 330 comuni sono noti (67%)"
80,20,"<b>Konkordat über den Wechsel der Gemeinde Moutier zum Kanton Jura</b><br>221 von 330 Gemeinden ausgezählt (67%)","<b>Concordat sur le transfert de Moutier au canton du Jura</b><br>221 des 330 communes sont connus (67%)","<b>NA</b><br>221 dei 330 comuni sono noti (67%)"
