"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
50,50,"<b>Transparenz-Initiative</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Gegenvorschlag zur Transparenz-Initiative</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
50,50,"<b>Stichfrage: Transparenz-Initiative oder Gegenvorschlag?</b><br>Es sind noch keine Gemeinden ausgezählt.","<b>NA</b><br>Aucun résultat n'est encore connu.","<b>NA</b><br>Nessun risultato è ancora noto."
