"Ja","Nein","Abstimmung_de","Abstimmung_fr","Abstimmung_it"
72.4,27.6,"<b>Änderung der Verfassung des Kantons Solothurn (KV); Solothurnische Gebäudeversicherung</b><br>56 von 106 Gemeinden ausgezählt (52.8%)","<b>NA</b><br>56 des 106 communes sont connus (52.8%)","<b>NA</b><br>56 dei 106 comuni sono noti (52.8%)"
69.3,30.7,"<b>Anstellungsbehörde für die Staatsschreiberin oder den Staatsschreiber und ihre oder seine Stellvertretung: Änderung der Verfassung des Kantons Solothurn (KV)</b><br>55 von 106 Gemeinden ausgezählt (51.9%)","<b>NA</b><br>55 des 106 communes sont connus (51.9%)","<b>NA</b><br>55 dei 106 comuni sono noti (51.9%)"
