"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2701,60,60,40,"Basel BS","Die Gemeinde Basel hat die Biodiversitätsinitiative mit dem dritthöchsten Ja-Anteil in der ganzen Schweiz angenommen: 60 Prozent stimmten für die Biodiversitätsinitiative. Basel hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Basel-Stadt."
2702,39.5,39.5,60.5,"Bettingen BS","In Bettingen hat die Stimmbevölkerung die Biodiversitätsinitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 60,5 Prozent verworfen. Bettingen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Basel-Stadt."
2703,44.9,44.9,55.1,"Riehen BS","Nein zur Biodiversitätsinitiative in Riehen. Die Gemeinde hat die Vorlage mit 55,1 Prozent abgelehnt. Riehen hat damit anders abgestimmt als der Kanton Basel-Stadt, der die Vorlage angenommen hat."
