"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,30.7,30.7,69.3,"Glarus Nord GL","Keine Mehrheit für die ""Stopp-Impfpflicht""-Initiative in Glarus Nord: Mit 3'475 Nein-Stimmen zu 1'539 Ja-Stimmen oder 69,3 Prozent hat die Gemeinde das Volksbegehren verworfen."
1631,28.5,28.5,71.5,"Glarus Süd GL","Nein zur ""Stopp-Impfpflicht""-Initiative in Glarus Süd mit 71,5 Prozent Ablehnung. Glarus Süd hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
1632,23.4,23.4,76.6,"Glarus GL","Glarus hat die ""Stopp-Impfpflicht""-Initiative mit 76,6 Prozent abgelehnt. Glarus hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Glarus."
